scenario,policy,retry,clones,capacity,requests,attempts,reliance_filter,hidden_control,reserve_repair,metric,mean,normal95_low,normal95_high,replicates
0,group_first,fixed_panel,1,3.0,12,3,all,False,False,completed_requests,2,1.7523906628610628,2.247609337138937,100
0,group_first,fixed_panel,1,3.0,12,3,all,False,False,unresolved_requests,10,9.752390662861062,10.247609337138938,100
0,group_first,fixed_panel,1,3.0,12,3,all,False,False,relied_requests,2,1.7523906628610628,2.247609337138937,100
0,group_first,fixed_panel,1,3.0,12,3,all,False,False,reservation_failures,27.41,26.89024058556974,27.92975941443026,100
0,group_first,fixed_panel,1,3.0,12,3,all,False,False,retry_attempts,20.74,20.228879347300303,21.251120652699694,100
0,group_first,fixed_panel,1,3.0,12,3,all,False,False,refuse_actors,3.1,2.7226264075444226,3.4773735924555775,100
0,group_first,fixed_panel,1,3.0,12,3,all,False,False,repaired_reliances,0.01,-0.0096,0.0296,100
0,group_first,fixed_panel,1,3.0,12,3,all,False,False,pending_repairs,1.72,1.5132476580323915,1.9267523419676085,100
0,group_first,fixed_panel,1,3.0,12,3,all,False,False,unnoticed_affected_reliances,0.27,0.16630525762624418,0.3736947423737559,100
0,group_first,fixed_panel,1,3.0,12,3,all,False,False,full_effort_completed_panels,0.62,0.4758353578702321,0.7641646421297679,100
0,group_first,fixed_panel,1,3.0,12,3,all,False,False,true_independent_completed_panels,2,1.7523906628610628,2.247609337138937,100
0,group_first,fixed_panel,1,3.0,12,3,all,False,False,total_hours,8.191300000000002,8.077649135778284,8.30495086422172,100
1,group_first,fixed_panel,1,3.0,12,3,all,False,True,completed_requests,1.39,1.2230945758638725,1.5569054241361273,100
1,group_first,fixed_panel,1,3.0,12,3,all,False,True,unresolved_requests,10.61,10.443094575863872,10.776905424136126,100
1,group_first,fixed_panel,1,3.0,12,3,all,False,True,relied_requests,1.39,1.2230945758638725,1.5569054241361273,100
1,group_first,fixed_panel,1,3.0,12,3,all,False,True,reservation_failures,30.19,29.835756600255383,30.54424339974462,100
1,group_first,fixed_panel,1,3.0,12,3,all,False,True,retry_attempts,21.51,21.160387576209473,21.85961242379053,100
1,group_first,fixed_panel,1,3.0,12,3,all,False,True,refuse_actors,1.77,1.5148955975260008,2.0251044024739993,100
1,group_first,fixed_panel,1,3.0,12,3,all,False,True,repaired_reliances,1.17,1.0333668274598593,1.3066331725401406,100
1,group_first,fixed_panel,1,3.0,12,3,all,False,True,pending_repairs,0.06,0.01321808171111536,0.10678191828888464,100
1,group_first,fixed_panel,1,3.0,12,3,all,False,True,unnoticed_affected_reliances,0.16,0.0777356417002804,0.2422643582997196,100
1,group_first,fixed_panel,1,3.0,12,3,all,False,True,full_effort_completed_panels,0.53,0.3950815974244605,0.6649184025755396,100
1,group_first,fixed_panel,1,3.0,12,3,all,False,True,true_independent_completed_panels,1.39,1.2230945758638725,1.5569054241361273,100
1,group_first,fixed_panel,1,3.0,12,3,all,False,True,total_hours,7.199200000000001,7.030933385133755,7.367466614866247,100
2,group_first,fixed_panel,1,8.0,12,3,all,False,False,completed_requests,6.03,5.64960001699434,6.410399983005661,100
2,group_first,fixed_panel,1,8.0,12,3,all,False,False,unresolved_requests,5.97,5.589600016994339,6.35039998300566,100
2,group_first,fixed_panel,1,8.0,12,3,all,False,False,relied_requests,6.03,5.64960001699434,6.410399983005661,100
2,group_first,fixed_panel,1,8.0,12,3,all,False,False,reservation_failures,11.99,11.043847088617717,12.936152911382283,100
2,group_first,fixed_panel,1,8.0,12,3,all,False,False,retry_attempts,14.87,14.092633161489273,15.647366838510726,100
2,group_first,fixed_panel,1,8.0,12,3,all,False,False,refuse_actors,8.43,7.775921697456194,9.084078302543805,100
2,group_first,fixed_panel,1,8.0,12,3,all,False,False,repaired_reliances,0.11,0.03684894278469264,0.18315105721530736,100
2,group_first,fixed_panel,1,8.0,12,3,all,False,False,pending_repairs,2.99,2.810546738309628,3.1694532616903723,100
2,group_first,fixed_panel,1,8.0,12,3,all,False,False,unnoticed_affected_reliances,2.93,2.613278790024279,3.2467212099757212,100
2,group_first,fixed_panel,1,8.0,12,3,all,False,False,full_effort_completed_panels,1.35,1.1179642138363006,1.5820357861636996,100
2,group_first,fixed_panel,1,8.0,12,3,all,False,False,true_independent_completed_panels,6.03,5.64960001699434,6.410399983005661,100
2,group_first,fixed_panel,1,8.0,12,3,all,False,False,total_hours,18.710900000000002,18.312073981980195,19.10972601801981,100
3,group_first,fixed_panel,1,8.0,12,3,all,False,True,completed_requests,5.32,4.957971649081613,5.6820283509183875,100
3,group_first,fixed_panel,1,8.0,12,3,all,False,True,unresolved_requests,6.68,6.3179716490816125,7.042028350918387,100
3,group_first,fixed_panel,1,8.0,12,3,all,False,True,relied_requests,5.32,4.957971649081613,5.6820283509183875,100
3,group_first,fixed_panel,1,8.0,12,3,all,False,True,reservation_failures,14.57,13.711236546956714,15.428763453043286,100
3,group_first,fixed_panel,1,8.0,12,3,all,False,True,retry_attempts,15.82,15.084321242702092,16.55567875729791,100
3,group_first,fixed_panel,1,8.0,12,3,all,False,True,refuse_actors,7.55,6.980181776282288,8.119818223717711,100
3,group_first,fixed_panel,1,8.0,12,3,all,False,True,repaired_reliances,1.98,1.9118753845344927,2.048124615465507,100
3,group_first,fixed_panel,1,8.0,12,3,all,False,True,pending_repairs,1.07,0.919320724582297,1.2206792754177032,100
3,group_first,fixed_panel,1,8.0,12,3,all,False,True,unnoticed_affected_reliances,2.27,1.9833782388941936,2.5566217611058066,100
3,group_first,fixed_panel,1,8.0,12,3,all,False,True,full_effort_completed_panels,1.24,1.0222063844142832,1.4577936155857167,100
3,group_first,fixed_panel,1,8.0,12,3,all,False,True,true_independent_completed_panels,5.32,4.957971649081613,5.6820283509183875,100
3,group_first,fixed_panel,1,8.0,12,3,all,False,True,total_hours,19.0214,18.705751902679484,19.337048097320515,100
4,group_first,fixed_panel,1,20.0,12,3,all,False,False,completed_requests,9.28,8.99172455371764,9.568275446282358,100
4,group_first,fixed_panel,1,20.0,12,3,all,False,False,unresolved_requests,2.72,2.431724553717642,3.0082754462823584,100
4,group_first,fixed_panel,1,20.0,12,3,all,False,False,relied_requests,9.28,8.99172455371764,9.568275446282358,100
4,group_first,fixed_panel,1,20.0,12,3,all,False,False,reservation_failures,0,0.0,0.0,100
4,group_first,fixed_panel,1,20.0,12,3,all,False,False,retry_attempts,9.72,9.11151612024706,10.328483879752941,100
4,group_first,fixed_panel,1,20.0,12,3,all,False,False,refuse_actors,11.79,10.955045205118893,12.624954794881106,100
4,group_first,fixed_panel,1,20.0,12,3,all,False,False,repaired_reliances,3.1,2.9411836712972304,3.25881632870277,100
4,group_first,fixed_panel,1,20.0,12,3,all,False,False,pending_repairs,0,0.0,0.0,100
4,group_first,fixed_panel,1,20.0,12,3,all,False,False,unnoticed_affected_reliances,6.18,5.951324848642261,6.4086751513577385,100
4,group_first,fixed_panel,1,20.0,12,3,all,False,False,full_effort_completed_panels,1.79,1.5450772242918065,2.0349227757081936,100
4,group_first,fixed_panel,1,20.0,12,3,all,False,False,true_independent_completed_panels,9.28,8.99172455371764,9.568275446282358,100
