regime,seed,policy,offered,completed,completion_coverage,correct_checks_per_offer,defect_detection_fraction,accuracy_among_completed,attention_hhi,largest_attention_share,minimum_group_coverage,unresolved_offers,repair_backlog,labor,mean_queue_age,coverage_0,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,count_correct_checks,count_incorrect_checks,count_defects_offered,count_defects_detected,count_false_alarms,count_audit_detected_defects,count_audited,count_repair_completed,count_audit_missed_capacity,count_refused_capacity,count_invitations,count_checks,count_intake_labor,count_check_labor,count_audit_labor,count_repair_labor,count_blind_periods
light_load,1,prestige,113,113,1.0,0.9292035398230089,0.875,0.9292035398230089,0.23141984493695672,0.37168141592920356,1.0,0,5,1793,0,1.0,1.0,1.0,1.0,1.0,1.0,105,8,16,14,6,0,27,15,1,1,114,113,228,1130,135,300,4
light_load,1,bounded,113,113,1.0,0.9292035398230089,0.875,0.9292035398230089,0.23141984493695672,0.37168141592920356,1.0,0,5,1798,0,1.0,1.0,1.0,1.0,1.0,1.0,105,8,16,14,6,0,28,15,0,1,114,113,228,1130,140,300,4
light_load,1,uniform,113,113,1.0,0.9292035398230089,0.875,0.9292035398230089,0.23141984493695672,0.37168141592920356,1.0,0,6,1778,0,1.0,1.0,1.0,1.0,1.0,1.0,105,8,16,14,6,0,28,14,0,1,114,113,228,1130,140,280,4
light_load,2,prestige,112,112,1.0,0.9375,0.8,0.9375,0.2461734693877551,0.38392857142857145,1.0,0,5,1772,0,1.0,1.0,1.0,1.0,1.0,1.0,105,7,20,15,2,1,32,13,1,4,116,112,232,1120,160,260,4
light_load,2,bounded,112,111,0.9910714285714286,0.9375,0.95,0.9459459459459459,0.24957389822254686,0.38738738738738737,0.8571428571428571,1,7,1831,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,105,6,20,18,4,1,33,16,2,7,118,111,236,1110,165,320,4
light_load,2,uniform,112,111,0.9910714285714286,0.9375,0.95,0.9459459459459459,0.24957389822254686,0.38738738738738737,0.8571428571428571,1,7,1821,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,105,6,20,18,4,1,31,16,4,7,118,111,236,1110,155,320,4
light_load,3,prestige,124,124,1.0,0.8870967741935484,0.9565217391304348,0.8870967741935484,0.279786680541103,0.4596774193548387,1.0,0,6,2217,0,1.0,1.0,1.0,1.0,1.0,1.0,110,14,23,21,12,1,33,28,2,2,126,124,252,1240,165,560,4
light_load,3,bounded,124,124,1.0,0.8790322580645161,0.9130434782608695,0.8790322580645161,0.279786680541103,0.4596774193548387,1.0,0,9,2098,0,1.0,1.0,1.0,1.0,1.0,1.0,109,15,23,19,11,2,28,23,0,5,129,124,258,1240,140,460,4
light_load,3,uniform,124,124,1.0,0.8790322580645161,0.9130434782608695,0.8790322580645161,0.279786680541103,0.4596774193548387,1.0,0,9,2098,0,1.0,1.0,1.0,1.0,1.0,1.0,109,15,23,19,11,2,28,23,0,5,129,124,258,1240,140,460,4
light_load,4,prestige,109,109,1.0,0.9174311926605505,0.8823529411764706,0.9174311926605505,0.260836629913307,0.44036697247706424,1.0,0,4,1834,0,1.0,1.0,1.0,1.0,1.0,1.0,100,9,17,15,7,0,32,18,1,3,112,109,224,1090,160,360,6
light_load,4,bounded,109,109,1.0,0.9174311926605505,0.8823529411764706,0.9174311926605505,0.260836629913307,0.44036697247706424,1.0,0,4,1834,0,1.0,1.0,1.0,1.0,1.0,1.0,100,9,17,15,7,0,32,18,1,3,112,109,224,1090,160,360,6
light_load,4,uniform,109,109,1.0,0.908256880733945,0.8823529411764706,0.908256880733945,0.260836629913307,0.44036697247706424,1.0,0,3,1874,0,1.0,1.0,1.0,1.0,1.0,1.0,99,10,17,15,8,0,32,20,1,3,112,109,224,1090,160,400,6
light_load,5,prestige,146,146,1.0,0.9246575342465754,0.8888888888888888,0.9246575342465754,0.23447175830362166,0.3972602739726027,1.0,0,8,2412,0,1.0,1.0,1.0,1.0,1.0,1.0,135,11,27,24,8,0,32,24,2,10,156,146,312,1460,160,480,3
light_load,5,bounded,146,146,1.0,0.9178082191780822,0.9259259259259259,0.9178082191780822,0.23447175830362166,0.3972602739726027,1.0,0,7,2532,0,1.0,1.0,1.0,1.0,1.0,1.0,134,12,27,25,10,0,42,28,1,5,151,146,302,1460,210,560,3
light_load,5,uniform,146,146,1.0,0.9041095890410958,0.8888888888888888,0.9041095890410958,0.23447175830362166,0.3972602739726027,1.0,0,7,2532,0,1.0,1.0,1.0,1.0,1.0,1.0,132,14,27,24,11,0,42,28,1,5,151,146,302,1460,210,560,3
light_load,6,prestige,113,113,1.0,0.9469026548672567,0.8695652173913043,0.9469026548672567,0.21325084188268464,0.336283185840708,1.0,0,6,1867,0,1.0,1.0,1.0,1.0,1.0,1.0,107,6,23,20,3,0,33,17,0,3,116,113,232,1130,165,340,2
light_load,6,bounded,113,113,1.0,0.9380530973451328,0.8695652173913043,0.9380530973451328,0.21325084188268464,0.336283185840708,1.0,0,8,1856,0,1.0,1.0,1.0,1.0,1.0,1.0,106,7,23,20,4,0,34,16,0,5,118,113,236,1130,170,320,2
