q,invitations,honest,shirk,abstain,participants,honest_share_participants,expected_audit_hours,expected_audit_hours_all_invited
0.0,102,2,100,0,102,0.0196078431372549,0.0,0.0
0.025,102,4,98,0,102,0.0392156862745098,0.25500000000000006,0.25500000000000006
0.05,102,8,94,0,102,0.0784313725490196,0.5100000000000001,0.5100000000000001
0.075,102,12,90,0,102,0.11764705882352941,0.765,0.765
0.1,102,16,86,0,102,0.1568627450980392,1.0200000000000002,1.0200000000000002
0.125,102,18,84,0,102,0.17647058823529413,1.2750000000000001,1.2750000000000001
0.15,102,22,80,0,102,0.21568627450980393,1.53,1.53
0.175,102,24,38,40,62,0.3870967741935484,1.085,1.785
0.2,102,26,36,40,62,0.41935483870967744,1.2400000000000002,2.0400000000000005
0.225,102,27,35,40,62,0.43548387096774194,1.3950000000000002,2.295
0.25,102,28,33,41,61,0.45901639344262296,1.5250000000000001,2.5500000000000003
0.275,102,30,31,41,61,0.4918032786885246,1.6775000000000002,2.805
0.3,102,32,29,41,61,0.5245901639344263,1.83,3.06
0.325,102,33,28,41,61,0.5409836065573771,1.9825,3.315
0.35,102,34,26,42,60,0.5666666666666667,2.1,3.57
0.375,102,36,24,42,60,0.6,2.25,3.825
0.4,102,38,22,42,60,0.6333333333333333,2.4000000000000004,4.080000000000001
0.425,102,39,21,42,60,0.65,2.5500000000000003,4.335
0.45,102,40,19,43,59,0.6779661016949152,2.6550000000000002,4.59
0.475,102,42,17,43,59,0.711864406779661,2.8025,4.845
0.5,102,44,15,43,59,0.7457627118644068,2.95,5.1000000000000005
0.525,102,45,14,43,59,0.7627118644067796,3.0975,5.355
0.55,102,46,12,44,58,0.7931034482758621,3.1900000000000004,5.61
0.575,102,47,0,55,47,1.0,2.7025,5.865
0.6,102,46,0,56,46,1.0,2.76,6.12
0.625,102,46,0,56,46,1.0,2.875,6.375
0.65,102,45,0,57,45,1.0,2.9250000000000003,6.63
0.675,102,45,0,57,45,1.0,3.0375000000000005,6.885000000000002
0.7,102,44,0,58,44,1.0,3.08,7.14
0.725,102,44,0,58,44,1.0,3.19,7.3950000000000005
0.75,102,43,0,59,43,1.0,3.225,7.65
0.775,102,43,0,59,43,1.0,3.3325000000000005,7.905
0.8,102,42,0,60,42,1.0,3.3600000000000003,8.160000000000002
0.825,102,42,0,60,42,1.0,3.465,8.415
0.85,102,41,0,61,41,1.0,3.4850000000000003,8.67
0.875,102,41,0,61,41,1.0,3.5875000000000004,8.925
0.9,102,40,0,62,40,1.0,3.6,9.18
0.925,102,40,0,62,40,1.0,3.7,9.435
0.95,102,39,0,63,39,1.0,3.705,9.69
0.975,102,39,0,63,39,1.0,3.8025,9.945
1.0,102,39,0,63,39,1.0,3.9000000000000004,10.200000000000001
