branching,susceptibility,coalescing,reproduction,expected_tickets
1,0.05,0,0.05,1.0526315789473684
1,0.05,0.5,0.025,1.0256410256410258
1,0.05,0.8,0.009999999999999998,1.0101010101010102
1,0.1,0,0.1,1.1111111111111112
1,0.1,0.5,0.05,1.0526315789473684
1,0.1,0.8,0.019999999999999997,1.0204081632653061
1,0.2,0,0.2,1.25
1,0.2,0.5,0.1,1.1111111111111112
1,0.2,0.8,0.039999999999999994,1.0416666666666667
1,0.5,0,0.5,2.0
1,0.5,0.5,0.25,1.3333333333333333
1,0.5,0.8,0.09999999999999998,1.1111111111111112
2,0.05,0,0.1,1.1111111111111112
2,0.05,0.5,0.05,1.0526315789473684
2,0.05,0.8,0.019999999999999997,1.0204081632653061
2,0.1,0,0.2,1.25
2,0.1,0.5,0.1,1.1111111111111112
2,0.1,0.8,0.039999999999999994,1.0416666666666667
2,0.2,0,0.4,1.6666666666666667
2,0.2,0.5,0.2,1.25
2,0.2,0.8,0.07999999999999999,1.0869565217391304
2,0.5,0,1.0,inf
2,0.5,0.5,0.5,2.0
2,0.5,0.8,0.19999999999999996,1.25
5,0.05,0,0.25,1.3333333333333333
5,0.05,0.5,0.125,1.1428571428571428
5,0.05,0.8,0.04999999999999999,1.0526315789473684
5,0.1,0,0.5,2.0
5,0.1,0.5,0.25,1.3333333333333333
5,0.1,0.8,0.09999999999999998,1.1111111111111112
5,0.2,0,1.0,inf
5,0.2,0.5,0.5,2.0
5,0.2,0.8,0.19999999999999996,1.25
5,0.5,0,2.5,inf
5,0.5,0.5,1.25,inf
5,0.5,0.8,0.4999999999999999,1.9999999999999996
10,0.05,0,0.5,2.0
10,0.05,0.5,0.25,1.3333333333333333
10,0.05,0.8,0.09999999999999998,1.1111111111111112
10,0.1,0,1.0,inf
10,0.1,0.5,0.5,2.0
10,0.1,0.8,0.19999999999999996,1.25
10,0.2,0,2.0,inf
10,0.2,0.5,1.0,inf
10,0.2,0.8,0.3999999999999999,1.6666666666666665
10,0.5,0,5.0,inf
10,0.5,0.5,2.5,inf
10,0.5,0.8,0.9999999999999998,4503599627370496.0
