reviewers,correlation,effective_n
1,0,1.0
1,0.05,1.0
1,0.2,1.0
1,0.5,1.0
1,1,1.0
2,0,2.0
2,0.05,1.9047619047619047
2,0.2,1.6666666666666667
2,0.5,1.3333333333333333
2,1,1.0
5,0,5.0
5,0.05,4.166666666666667
5,0.2,2.7777777777777777
5,0.5,1.6666666666666667
5,1,1.0
10,0,10.0
10,0.05,6.8965517241379315
10,0.2,3.5714285714285716
10,0.5,1.8181818181818181
10,1,1.0
20,0,20.0
20,0.05,10.256410256410255
20,0.2,4.166666666666666
20,0.5,1.9047619047619047
20,1,1.0
100,0,100.0
100,0.05,16.80672268907563
100,0.2,4.8076923076923075
100,0.5,1.9801980198019802
100,1,1.0
