scenario,hours,seed,policy,true_avoided_loss,paired_gain_vs_uniform,regret_vs_latent_oracle,lots_at_least_quarter_hour,underserved_hours,irreducible_floor
known,20,0,uniform,19.18907770279408,0.0,19.843500452029602,80,5.0,11.468286703734963
known,20,0,estimated_waterfill,39.03257815482368,19.843500452029602,0.0,23,3.555929541791878,11.468286703734963
known,20,0,reserve_20,36.926317488046024,17.737239785251944,2.1062606667776578,20,5.967192725691301,11.468286703734963
known,20,0,latent_oracle,39.03257815482368,19.843500452029602,0.0,23,3.555929541791878,11.468286703734963
known,80,0,uniform,55.25347485206279,0.0,16.619488978085222,80,20.0,11.468286703734963
known,80,0,estimated_waterfill,71.87296383014801,16.619488978085222,0.0,50,16.76299186566826,11.468286703734963
known,80,0,reserve_20,70.69533491236284,15.441860060300051,1.1776289177851709,54,22.6690457686607,11.468286703734963
known,80,0,latent_oracle,71.87296383014801,16.619488978085222,0.0,50,16.76299186566826,11.468286703734963
noise_05,20,0,uniform,19.18907770279408,0.0,19.843500452029602,80,5.0,11.468286703734963
noise_05,20,0,estimated_waterfill,34.41672527773437,15.227647574940292,4.61585287708931,20,2.202466858286624,11.468286703734963
noise_05,20,0,reserve_20,32.47526241625725,13.286184713463172,6.55731573856643,20,4.773035326229283,11.468286703734963
noise_05,20,0,latent_oracle,39.03257815482368,19.843500452029602,0.0,23,3.555929541791878,11.468286703734963
noise_05,80,0,uniform,55.25347485206279,0.0,16.619488978085222,80,20.0,11.468286703734963
noise_05,80,0,estimated_waterfill,68.2250555408638,12.97158068880102,3.647908289284203,49,14.108447210389084,11.468286703734963
noise_05,80,0,reserve_20,67.14537585695193,11.891901004889142,4.72758797319608,58,21.105263138802158,11.468286703734963
noise_05,80,0,latent_oracle,71.87296383014801,16.619488978085222,0.0,50,16.76299186566826,11.468286703734963
noise_10,20,0,uniform,19.18907770279408,0.0,19.843500452029602,80,5.0,11.468286703734963
noise_10,20,0,estimated_waterfill,26.75279468738999,7.56371698459591,12.279783467433692,18,1.2318236400492442,11.468286703734963
noise_10,20,0,reserve_20,25.810680272960525,6.621602570166445,13.221897881863157,14,4.135124910629992,11.468286703734963
noise_10,20,0,latent_oracle,39.03257815482368,19.843500452029602,0.0,23,3.555929541791878,11.468286703734963
noise_10,80,0,uniform,55.25347485206279,0.0,16.619488978085222,80,20.0,11.468286703734963
noise_10,80,0,estimated_waterfill,59.158155041223665,3.904680189160878,12.714808788924344,48,12.593589394242514,11.468286703734963
noise_10,80,0,reserve_20,58.13077551854951,2.8773006664867253,13.742188311598497,55,20.261631067222957,11.468286703734963
noise_10,80,0,latent_oracle,71.87296383014801,16.619488978085222,0.0,50,16.76299186566826,11.468286703734963
noise_20,20,0,uniform,19.18907770279408,0.0,19.843500452029602,80,5.0,11.468286703734963
noise_20,20,0,estimated_waterfill,15.002199062162624,-4.1868786406314555,24.030379092661057,13,0.2143881572399326,11.468286703734963
noise_20,20,0,reserve_20,15.779277918478067,-3.4097997843160126,23.253300236345616,10,4.000000000000001,11.468286703734963
noise_20,20,0,latent_oracle,39.03257815482368,19.843500452029602,0.0,23,3.555929541791878,11.468286703734963
noise_20,80,0,uniform,55.25347485206279,0.0,16.619488978085222,80,20.0,11.468286703734963
noise_20,80,0,estimated_waterfill,34.80968953248558,-20.44378531957721,37.06327429766243,32,7.010674191238579,11.468286703734963
noise_20,80,0,reserve_20,38.9215717773467,-16.331903074716088,32.95139205280131,47,18.424860065206886,11.468286703734963
noise_20,80,0,latent_oracle,71.87296383014801,16.619488978085222,0.0,50,16.76299186566826,11.468286703734963
biased_underserved,20,0,uniform,19.18907770279408,0.0,19.843500452029602,80,5.0,11.468286703734963
biased_underserved,20,0,estimated_waterfill,37.08179125234368,17.892713549549597,1.9507869024800044,21,0.0,11.468286703734963
biased_underserved,20,0,reserve_20,36.19198169125144,17.002903988457362,2.84059646357224,18,4.000000000000001,11.468286703734963
biased_underserved,20,0,latent_oracle,39.03257815482368,19.843500452029602,0.0,23,3.555929541791878,11.468286703734963
biased_underserved,80,0,uniform,55.25347485206279,0.0,16.619488978085222,80,20.0,11.468286703734963
biased_underserved,80,0,estimated_waterfill,64.54185195829851,9.288377106235721,7.331111871849501,43,0.22570063104882793,11.468286703734963
biased_underserved,80,0,reserve_20,68.88313917351007,13.629664321447287,2.9898246566379356,59,16.000000000000004,11.468286703734963
biased_underserved,80,0,latent_oracle,71.87296383014801,16.619488978085222,0.0,50,16.76299186566826,11.468286703734963
blindspot_ignored,20,0,uniform,16.313751811175226,0.0,20.76803944116845,80,5.0,26.34414184932269
blindspot_ignored,20,0,estimated_waterfill,34.82807631764717,18.51432450647194,2.253714934696511,23,3.555929541791877,26.34414184932269
blindspot_ignored,20,0,reserve_20,32.31583387787488,16.002082066699653,4.7659573744687975,20,5.967192725691301,26.34414184932269
blindspot_ignored,20,0,latent_oracle,37.08179125234368,20.76803944116845,0.0,21,0.0,26.34414184932269
blindspot_ignored,80,0,uniform,46.9655537896202,0.0,17.394880082575966,80,20.0,26.34414184932269
blindspot_ignored,80,0,estimated_waterfill,62.17520083004042,15.209647040420215,2.185233042155751,50,16.76299186566826,26.34414184932269
blindspot_ignored,80,0,reserve_20,60.410879835752105,13.445326046131903,3.949554036444063,54,22.6690457686607,26.34414184932269
blindspot_ignored,80,0,latent_oracle,64.36043387219617,17.394880082575966,0.0,48,2.951866710003108,26.34414184932269
known,20,1,uniform,22.139672594722295,0.0,28.47882053390803,80,5.0,13.776878735519983
known,20,1,estimated_waterfill,50.61849312863033,28.47882053390803,0.0,17,2.6277458063248242,13.776878735519983
known,20,1,reserve_20,47.72977501332458,25.59010241860228,2.8887181153057497,16,5.48089540907958,13.776878735519983
known,20,1,latent_oracle,50.61849312863033,28.47882053390803,0.0,17,2.6277458063248242,13.776878735519983
known,80,1,uniform,64.42613058181263,0.0,22.75923435487104,80,20.0,13.776878735519983
known,80,1,estimated_waterfill,87.18536493668367,22.75923435487104,0.0,47,13.66388719578928,13.776878735519983
known,80,1,reserve_20,85.16002058260203,20.7338900007894,2.025344354081639,56,20.638507702571307,13.776878735519983
known,80,1,latent_oracle,87.18536493668367,22.75923435487104,0.0,47,13.66388719578928,13.776878735519983
noise_05,20,1,uniform,22.139672594722295,0.0,28.47882053390803,80,5.0,13.776878735519983
noise_05,20,1,estimated_waterfill,47.33626769562804,25.196595100905743,3.2822254330022886,21,3.1444699173000563,13.776878735519983
noise_05,20,1,reserve_20,44.56164069190441,22.421968097182113,6.056852436725919,19,5.6618483814169505,13.776878735519983
noise_05,20,1,latent_oracle,50.61849312863033,28.47882053390803,0.0,17,2.6277458063248242,13.776878735519983
noise_05,80,1,uniform,64.42613058181263,0.0,22.75923435487104,80,20.0,13.776878735519983
noise_05,80,1,estimated_waterfill,84.03797204701947,19.611841465206837,3.1473928896642036,50,16.404749448516966,13.776878735519983
noise_05,80,1,reserve_20,82.13558435818939,17.709453776376762,5.049780578494278,55,23.63576174306726,13.776878735519983
noise_05,80,1,latent_oracle,87.18536493668367,22.75923435487104,0.0,47,13.66388719578928,13.776878735519983
noise_10,20,1,uniform,22.139672594722295,0.0,28.47882053390803,80,5.0,13.776878735519983
noise_10,20,1,estimated_waterfill,39.72120772360529,17.581535128882994,10.897285405025038,22,2.7717553261121752,13.776878735519983
noise_10,20,1,reserve_20,37.83872422330032,15.699051628578022,12.779768905330009,21,5.4716189035188325,13.776878735519983
noise_10,20,1,latent_oracle,50.61849312863033,28.47882053390803,0.0,17,2.6277458063248242,13.776878735519983
noise_10,80,1,uniform,64.42613058181263,0.0,22.75923435487104,80,20.0,13.776878735519983
noise_10,80,1,estimated_waterfill,75.4927091915042,11.066578609691575,11.692655745179465,44,19.79897022793889,13.776878735519983
noise_10,80,1,reserve_20,74.38575997644753,9.959629394634902,12.799604960236138,53,26.583217805567518,13.776878735519983
noise_10,80,1,latent_oracle,87.18536493668367,22.75923435487104,0.0,47,13.66388719578928,13.776878735519983
noise_20,20,1,uniform,22.139672594722295,0.0,28.47882053390803,80,5.0,13.776878735519983
noise_20,20,1,estimated_waterfill,29.776575834624342,7.636903239902047,20.841917294005984,17,2.7086203587672313,13.776878735519983
noise_20,20,1,reserve_20,28.909028704691888,6.769356109969593,21.70946442393844,17,5.635605246513392,13.776878735519983
noise_20,20,1,latent_oracle,50.61849312863033,28.47882053390803,0.0,17,2.6277458063248242,13.776878735519983
noise_20,80,1,uniform,64.42613058181263,0.0,22.75923435487104,80,20.0,13.776878735519983
noise_20,80,1,estimated_waterfill,56.003701760369964,-8.422428821442665,31.181663176313705,32,26.85514093153774,13.776878735519983
noise_20,80,1,reserve_20,58.772350080287865,-5.653780501524764,28.413014856395804,43,32.44510527772476,13.776878735519983
noise_20,80,1,latent_oracle,87.18536493668367,22.75923435487104,0.0,47,13.66388719578928,13.776878735519983
biased_underserved,20,1,uniform,22.139672594722295,0.0,28.47882053390803,80,5.0,13.776878735519983
