baseline_primary_load,arrival_multiplier,primary_cost_multiplier,policy,seed,expected_total_load,attempted,admitted,rejected,final_backlog_hours,peak_backlog_hours,mean_backlog_hours,admitted_actual_hours,completed_hours,last_quarter_drift_hours_per_day
0.5,1,1,unbounded,0,0.53125,719,719,0,0,17.482287035939834,0.9964131158535369,1505.6907097281728,1505.6907097281735,0.0
0.5,1,1,one_day_reservation,0,0.53125,719,627,92,0,10.241352211451357,0.28028677470099717,1288.71734091486,1288.7173409148602,0.0
0.5,1,1,unbounded,1,0.53125,704,704,0,0,11.756657821035084,0.7895575355273269,1443.9674946312293,1443.9674946312289,-0.025180446921516043
0.5,1,1,one_day_reservation,1,0.53125,704,618,86,0,9.823704578818987,0.3308190031472662,1265.2943273234657,1265.2943273234662,-0.025180446921516043
0.5,1,1,unbounded,2,0.53125,703,703,0,0,11.98806987870331,0.8347847394022991,1504.6407597133855,1504.640759713385,0.0
0.5,1,1,one_day_reservation,2,0.53125,703,605,98,0,11.98806987870331,0.36451208669891405,1312.297333093278,1312.2973330932773,0.0
0.5,1,1,unbounded,3,0.53125,730,730,0,0,11.991105249341722,0.7976409267671783,1517.260629182756,1517.2606291827553,0.0
0.5,1,1,one_day_reservation,3,0.53125,730,638,92,0,8.790692945689596,0.29294263442636925,1316.4765246776483,1316.4765246776485,0.0
0.5,1,1,unbounded,4,0.53125,696,696,0,0.05510846573912076,24.341664943709482,1.25785375748789,1471.8637002643454,1471.8085917986075,-0.03008006316091804
0.5,1,1,one_day_reservation,4,0.53125,696,601,95,0.05510846573912076,20.212608703083163,0.43698811521015885,1267.259417251125,1267.204308785386,-0.03008006316091804
0.5,1,1,unbounded,5,0.53125,730,730,0,7.85060530588912,11.857016404299955,0.724867285324072,1459.8986654421014,1452.0480601362126,0.08627038797680352
0.5,1,1,one_day_reservation,5,0.53125,730,632,98,0,11.857016404299955,0.29017169669611115,1268.5560226632692,1268.5560226632695,0.0
0.5,1,1,unbounded,6,0.53125,724,724,0,0,44.339591286848375,2.667943593336079,1654.388965554899,1654.3889655548994,0.0
0.5,1,1,one_day_reservation,6,0.53125,724,605,119,0,18.74657128099441,0.5809569917596977,1373.6847264311955,1373.684726431196,0.0
0.5,1,1,unbounded,7,0.53125,761,761,0,8.083970268457673,22.75198860962678,1.6058595256253552,1675.6720382165709,1667.5880679481138,-0.03883367493146453
