groups,beta,chi,exploration,initial,local_eigenvalue,max_share,hhi,residual_inf
2,1,0,0,near_uniform,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,1,0,0,concentrated,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,2,0,0,near_uniform,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,2,0,0,concentrated,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,3,0,0,near_uniform,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,3,0,0,concentrated,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,4,0,0,near_uniform,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,4,0,0,concentrated,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,6,0,0,near_uniform,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,6,0,0,concentrated,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,8,0,0,near_uniform,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,8,0,0,concentrated,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,12,0,0,near_uniform,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,12,0,0,concentrated,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,20,0,0,near_uniform,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,20,0,0,concentrated,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,1,0,0.1,near_uniform,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,1,0,0.1,concentrated,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,2,0,0.1,near_uniform,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,2,0,0.1,concentrated,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,3,0,0.1,near_uniform,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,3,0,0.1,concentrated,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,4,0,0.1,near_uniform,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,4,0,0.1,concentrated,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,6,0,0.1,near_uniform,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,6,0,0.1,concentrated,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,8,0,0.1,near_uniform,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,8,0,0.1,concentrated,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,12,0,0.1,near_uniform,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,12,0,0.1,concentrated,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,20,0,0.1,near_uniform,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,20,0,0.1,concentrated,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,1,0,0.3,near_uniform,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,1,0,0.3,concentrated,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,2,0,0.3,near_uniform,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,2,0,0.3,concentrated,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,3,0,0.3,near_uniform,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,3,0,0.3,concentrated,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,4,0,0.3,near_uniform,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,4,0,0.3,concentrated,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,6,0,0.3,near_uniform,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,6,0,0.3,concentrated,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,8,0,0.3,near_uniform,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,8,0,0.3,concentrated,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,12,0,0.3,near_uniform,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,12,0,0.3,concentrated,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,20,0,0.3,near_uniform,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,20,0,0.3,concentrated,-1.0,0.5000000000000013,0.5,1.3322676295501878e-15
2,1,0.5,0,near_uniform,-0.75,0.5000000000000041,0.5,3.1086244689504383e-15
2,1,0.5,0,concentrated,-0.75,0.5000000000000041,0.5,3.1086244689504383e-15
2,2,0.5,0,near_uniform,-0.5,0.5000000000000041,0.5,2.0539125955565396e-15
2,2,0.5,0,concentrated,-0.5,0.5000000000000041,0.5,2.0539125955565396e-15
2,3,0.5,0,near_uniform,-0.25,0.5000000000000124,0.5,3.1086244689504383e-15
2,3,0.5,0,concentrated,-0.25,0.5000000000000124,0.5,3.1086244689504383e-15
2,4,0.5,0,near_uniform,0.0,0.5009996801540136,0.50000199872082,1.3320526348614692e-09
2,4,0.5,0,concentrated,0.0,0.5395584547047233,0.5031297426772502,8.233238542271204e-05
2,6,0.5,0,near_uniform,0.5,0.9292798183200521,0.8685623248337937,2.220446049250313e-15
2,6,0.5,0,concentrated,0.5,0.9292798183200521,0.8685623248337937,2.220446049250313e-15
2,8,0.5,0,near_uniform,1.0,0.9787520120386326,0.958406978062078,1.5543122344752192e-15
2,8,0.5,0,concentrated,1.0,0.9787520120386326,0.958406978062078,1.5543122344752192e-15
2,12,0.5,0,near_uniform,2.0,0.9974507642263117,0.9949145256586831,2.6645352591003757e-15
2,12,0.5,0,concentrated,2.0,0.9974507642263117,0.9949145256586831,2.6645352591003757e-15
2,20,0.5,0,near_uniform,4.0,0.9999545608576152,0.9999091258446617,8.881784197001252e-16
2,20,0.5,0,concentrated,4.0,0.9999545608576152,0.9999091258446617,8.881784197001252e-16
2,1,0.5,0.1,near_uniform,-0.775,0.5000000000000041,0.5,3.219646771412954e-15
2,1,0.5,0.1,concentrated,-0.775,0.5000000000000041,0.5,3.219646771412954e-15
2,2,0.5,0.1,near_uniform,-0.55,0.5000000000000041,0.5,2.275957200481571e-15
2,2,0.5,0.1,concentrated,-0.55,0.5000000000000041,0.5,2.275957200481571e-15
2,3,0.5,0.1,near_uniform,-0.32499999999999996,0.5000000000000097,0.5,3.164135620181696e-15
2,3,0.5,0.1,concentrated,-0.32499999999999996,0.5000000000000097,0.5,3.164135620181696e-15
2,4,0.5,0.1,near_uniform,-0.09999999999999998,0.5000000000000381,0.4999999999999987,4.551914400963142e-15
2,4,0.5,0.1,concentrated,-0.09999999999999998,0.5000000000088402,0.49999999999999933,8.844036614163997e-13
2,6,0.5,0.1,near_uniform,0.3500000000000001,0.8537785162705834,0.7503184771492303,3.219646771412954e-15
2,6,0.5,0.1,concentrated,0.3500000000000001,0.8537785162705944,0.750318477149247,3.1086244689504383e-15
2,8,0.5,0.1,near_uniform,0.8,0.9197229074882372,0.8523346381407578,4.884981308350689e-15
2,8,0.5,0.1,concentrated,0.8,0.9197229074882372,0.8523346381407578,4.884981308350689e-15
2,12,0.5,0.1,near_uniform,1.7000000000000002,0.9457422283355241,0.8973722682430364,5.995204332975845e-15
2,12,0.5,0.1,concentrated,1.7000000000000002,0.9457422283355241,0.8973722682430364,5.995204332975845e-15
2,20,0.5,0.1,near_uniform,3.5,0.9498886974224372,0.9047996801369141,3.3306690738754696e-15
2,20,0.5,0.1,concentrated,3.5,0.9498886974224372,0.9047996801369141,3.3306690738754696e-15
2,1,0.5,0.3,near_uniform,-0.825,0.500000000000004,0.5000000000000027,3.552713678800501e-15
2,1,0.5,0.3,concentrated,-0.825,0.500000000000004,0.5000000000000027,3.552713678800501e-15
2,2,0.5,0.3,near_uniform,-0.65,0.5000000000000041,0.5,2.6645352591003757e-15
2,2,0.5,0.3,concentrated,-0.65,0.5000000000000041,0.5,2.6645352591003757e-15
2,3,0.5,0.3,near_uniform,-0.4750000000000001,0.5000000000000041,0.5,1.9984014443252818e-15
2,3,0.5,0.3,concentrated,-0.4750000000000001,0.5000000000000041,0.5,1.9984014443252818e-15
2,4,0.5,0.3,near_uniform,-0.30000000000000004,0.5000000000000097,0.5,2.886579864025407e-15
2,4,0.5,0.3,concentrated,-0.30000000000000004,0.5000000000000097,0.5,2.886579864025407e-15
2,6,0.5,0.3,near_uniform,0.04999999999999982,0.6297469140909486,0.5336685234322474,8.70412064646331e-09
2,6,0.5,0.3,concentrated,0.04999999999999982,0.6297470064090372,0.5336685713442129,9.022227409616335e-13
2,8,0.5,0.3,near_uniform,0.3999999999999999,0.785084985924369,0.6625468983989938,3.9968028886505635e-15
2,8,0.5,0.3,concentrated,0.3999999999999999,0.78508498592438,0.6625468983990088,3.1086244689504383e-15
2,12,0.5,0.3,near_uniform,1.0999999999999996,0.8380973355636,0.7286196166304095,4.773959005888173e-15
2,12,0.5,0.3,concentrated,1.0999999999999996,0.8380973355636054,0.7286196166304182,8.604228440844963e-16
2,20,0.5,0.3,near_uniform,2.5,0.8493539785359071,0.7440964046377339,1.3322676295501878e-15
2,20,0.5,0.3,concentrated,2.5,0.8493539785359125,0.7440964046377427,4.107825191113079e-15
2,1,1,0,near_uniform,-0.5,0.5000000000000041,0.5,2.0539125955565396e-15
2,1,1,0,concentrated,-0.5,0.5000000000000041,0.5,2.0539125955565396e-15
2,2,1,0,near_uniform,0.0,0.5009996801540136,0.50000199872082,1.3320526348614692e-09
2,2,1,0,concentrated,0.0,0.5395584547047233,0.5031297426772502,8.233238542271204e-05
2,3,1,0,near_uniform,0.5,0.9292798183200521,0.8685623248337937,2.220446049250313e-15
2,3,1,0,concentrated,0.5,0.9292798183200521,0.8685623248337937,2.220446049250313e-15
2,4,1,0,near_uniform,1.0,0.9787520120386326,0.958406978062078,1.5543122344752192e-15
2,4,1,0,concentrated,1.0,0.9787520120386326,0.958406978062078,1.5543122344752192e-15
2,6,1,0,near_uniform,2.0,0.9974507642263117,0.9949145256586831,2.6645352591003757e-15
2,6,1,0,concentrated,2.0,0.9974507642263117,0.9949145256586831,2.6645352591003757e-15
2,8,1,0,near_uniform,3.0,0.9996628365075497,0.9993259003735406,4.440892098500626e-15
2,8,1,0,concentrated,3.0,0.9996628365075497,0.9993259003735406,4.440892098500626e-15
2,12,1,0,near_uniform,5.0,0.9999938549191809,0.9999877099138859,8.881784197001252e-16
2,12,1,0,concentrated,5.0,0.9999938549191809,0.9999877099138859,8.881784197001252e-16
2,20,1,0,near_uniform,9.0,0.9999999979388405,0.9999999958776811,5.773159728050814e-15
2,20,1,0,concentrated,9.0,0.9999999979388405,0.9999999958776811,5.773159728050814e-15
2,1,1,0.1,near_uniform,-0.55,0.5000000000000041,0.5,2.275957200481571e-15
2,1,1,0.1,concentrated,-0.55,0.5000000000000041,0.5,2.275957200481571e-15
2,2,1,0.1,near_uniform,-0.09999999999999998,0.5000000000000381,0.4999999999999987,4.551914400963142e-15
2,2,1,0.1,concentrated,-0.09999999999999998,0.5000000000088402,0.49999999999999933,8.844036614163997e-13
2,3,1,0.1,near_uniform,0.3500000000000001,0.8537785162705834,0.7503184771492303,3.219646771412954e-15
2,3,1,0.1,concentrated,0.3500000000000001,0.8537785162705944,0.750318477149247,3.1086244689504383e-15
2,4,1,0.1,near_uniform,0.8,0.9197229074882372,0.8523346381407578,4.884981308350689e-15
2,4,1,0.1,concentrated,0.8,0.9197229074882372,0.8523346381407578,4.884981308350689e-15
2,6,1,0.1,near_uniform,1.7000000000000002,0.9457422283355241,0.8973722682430364,5.995204332975845e-15
2,6,1,0.1,concentrated,1.7000000000000002,0.9457422283355241,0.8973722682430364,5.995204332975845e-15
2,8,1,0.1,near_uniform,2.6,0.9493212481350397,0.9037791680512596,3.6637359812630166e-15
2,8,1,0.1,concentrated,2.6,0.9493212481350397,0.9037791680512596,3.6637359812630166e-15
2,12,1,0.1,near_uniform,4.4,0.9499816327268338,0.904966939583014,2.3314683517128287e-15
2,12,1,0.1,concentrated,4.4,0.9499816327268338,0.904966939583014,2.3314683517128287e-15
2,20,1,0.1,near_uniform,8.0,0.9499999862930062,0.904999975327411,4.773959005888173e-15
2,20,1,0.1,concentrated,8.0,0.9499999862930062,0.904999975327411,4.773959005888173e-15
2,1,1,0.3,near_uniform,-0.65,0.5000000000000041,0.5,2.6645352591003757e-15
2,1,1,0.3,concentrated,-0.65,0.5000000000000041,0.5,2.6645352591003757e-15
2,2,1,0.3,near_uniform,-0.30000000000000004,0.5000000000000097,0.5,2.886579864025407e-15
2,2,1,0.3,concentrated,-0.30000000000000004,0.5000000000000097,0.5,2.886579864025407e-15
