alpha,ingress,analytic,iterated
0.5,0,0.0,0.0
0.5,0.001,0.0009990009990009992,0.0009990009989729247
0.5,0.01,0.009900990099009901,0.009900990098985317
0.5,0.05,0.047619047619047616,0.047619047619022956
0.5,0.1,0.09090909090909091,0.09090909090906113
0.5,0.5,0.3333333333333333,0.3333333333333286
0.5,1,0.5,0.5
0.85,0,0.0,0.0
0.85,0.001,0.00563473649320517,0.005634736492963847
0.85,0.01,0.05362776025236592,0.05362776025210735
0.85,0.05,0.22077922077922077,0.22077922077903342
0.85,0.1,0.36170212765957444,0.3617021276594456
0.85,0.5,0.7391304347826088,0.7391304347825777
0.85,1,0.85,0.85
0.95,0,0.0,0.0
0.95,0.001,0.018645731108930308,0.018645731108018655
0.95,0.01,0.15966386554621836,0.1596638655454586
0.95,0.05,0.48717948717948695,0.48717948717903115
0.95,0.1,0.6551724137931032,0.6551724137928316
0.95,0.5,0.9047619047619047,0.9047619047618808
0.95,1,0.95,0.95
