case,seed,status,offered,honest,shallow,refused,completed,audited,unused_refused_audit_slots,false_sanctions,detected_shallow,audit_tokens_spent,expected_utility_regret
no_audit,60,executed,8,0,8,0,8,0,0,0,0,0.0,0.0
no_audit,61,executed,8,0,8,0,8,0,0,0,0,0.0,0.0
no_audit,62,executed,8,0,8,0,8,0,0,0,0,0.0,0.0
no_audit,63,executed,8,0,8,0,8,0,0,0,0,0.0,0.0
no_audit,64,executed,8,0,8,0,8,0,0,0,0,0.0,0.0
no_audit,65,executed,8,0,8,0,8,0,0,0,0,0.0,0.0
no_audit,66,executed,8,0,8,0,8,0,0,0,0,0.0,0.0
no_audit,67,executed,8,0,8,0,8,0,0,0,0,0.0,0.0
no_audit,68,executed,8,0,8,0,8,0,0,0,0,0.0,0.0
no_audit,69,executed,8,0,8,0,8,0,0,0,0,0.0,0.0
no_audit,70,executed,8,0,8,0,8,0,0,0,0,0.0,0.0
no_audit,71,executed,8,0,8,0,8,0,0,0,0,0.0,0.0
no_audit,72,executed,8,0,8,0,8,0,0,0,0,0.0,0.0
no_audit,73,executed,8,0,8,0,8,0,0,0,0,0.0,0.0
no_audit,74,executed,8,0,8,0,8,0,0,0,0,0.0,0.0
no_audit,75,executed,8,0,8,0,8,0,0,0,0,0.0,0.0
no_audit,76,executed,8,0,8,0,8,0,0,0,0,0.0,0.0
no_audit,77,executed,8,0,8,0,8,0,0,0,0,0.0,0.0
no_audit,78,executed,8,0,8,0,8,0,0,0,0,0.0,0.0
no_audit,79,executed,8,0,8,0,8,0,0,0,0,0.0,0.0
concealed_funded,60,executed,8,8,0,0,8,4,0,0,0,4.0,0.0
concealed_funded,61,executed,8,8,0,0,8,4,0,0,0,4.0,0.0
concealed_funded,62,executed,8,8,0,0,8,4,0,0,0,4.0,0.0
concealed_funded,63,executed,8,8,0,0,8,4,0,0,0,4.0,0.0
concealed_funded,64,executed,8,8,0,0,8,4,0,0,0,4.0,0.0
concealed_funded,65,executed,8,8,0,0,8,4,0,0,0,4.0,0.0
