units,baseline_adequacy,benefit_units,effect,effect_exact,power,power_exact,assignments,rejections
8,0.5,0,0.0,0,0.0,0,36,0
8,0.5,1,0.125,1/8,0.0,0,36,0
8,0.5,2,0.25,1/4,0.0,0,36,0
8,0.5,3,0.375,3/8,0.0,0,36,0
8,0.5,4,0.5,1/2,0.0,0,36,0
16,0.5,0,0.0,0,0.026234567901234566,17/648,1296,34
16,0.5,2,0.125,1/8,0.016975308641975308,11/648,1296,22
16,0.5,4,0.25,1/4,0.05632716049382716,73/1296,1296,73
16,0.5,6,0.375,3/8,0.1412037037037037,61/432,1296,183
16,0.5,8,0.5,1/2,0.3248456790123457,421/1296,1296,421
24,0.5,0,0.0,0,0.011616941015089163,271/23328,46656,542
24,0.5,3,0.125,1/8,0.027220507544581617,635/23328,46656,1270
24,0.5,6,0.25,1/4,0.09962277091906721,581/5832,46656,4648
24,0.5,9,0.375,3/8,0.2859653635116598,6671/23328,46656,13342
24,0.5,12,0.5,1/2,0.729295267489712,5671/7776,46656,34026
