case,generation,type0,type1,weighted,cumulative_weighted,geometric_envelope
snapshot_stable_switching_bad,0,1.0,0.0,1.0,1.0,1.0
snapshot_stable_switching_bad,1,0.0,2.0,2.0,3.0,2.0
snapshot_stable_switching_bad,2,4.0,0.0,4.0,7.0,4.0
snapshot_stable_switching_bad,3,0.0,8.0,8.0,15.0,8.0
snapshot_stable_switching_bad,4,16.0,0.0,16.0,31.0,16.0
snapshot_stable_switching_bad,5,0.0,32.0,32.0,63.0,32.0
snapshot_stable_switching_bad,6,64.0,0.0,64.0,127.0,64.0
snapshot_stable_switching_bad,7,0.0,128.0,128.0,255.0,128.0
snapshot_stable_switching_bad,8,256.0,0.0,256.0,511.0,256.0
snapshot_stable_switching_bad,9,0.0,512.0,512.0,1023.0,512.0
snapshot_stable_switching_bad,10,1024.0,0.0,1024.0,2047.0,1024.0
snapshot_stable_switching_bad,11,0.0,2048.0,2048.0,4095.0,2048.0
snapshot_stable_switching_bad,12,4096.0,0.0,4096.0,8191.0,4096.0
snapshot_stable_switching_bad,13,0.0,8192.0,8192.0,16383.0,8192.0
snapshot_stable_switching_bad,14,16384.0,0.0,16384.0,32767.0,16384.0
snapshot_stable_switching_bad,15,0.0,32768.0,32768.0,65535.0,32768.0
snapshot_stable_switching_bad,16,65536.0,0.0,65536.0,131071.0,65536.0
snapshot_stable_switching_bad,17,0.0,131072.0,131072.0,262143.0,131072.0
snapshot_stable_switching_bad,18,262144.0,0.0,262144.0,524287.0,262144.0
snapshot_stable_switching_bad,19,0.0,524288.0,524288.0,1048575.0,524288.0
snapshot_stable_switching_bad,20,1048576.0,0.0,1048576.0,2097151.0,1048576.0
common_envelope,0,1.0,0.0,1.0,1.0,1.0
common_envelope,1,0.2,0.1,0.4,1.4,0.7
common_envelope,2,0.025000000000000005,0.08,0.185,1.585,0.48999999999999994
common_envelope,3,0.013000000000000001,0.0345,0.082,1.667,0.3429999999999999
common_envelope,4,0.0030250000000000003,0.0108,0.024625,1.691625,0.24009999999999995
common_envelope,5,0.001685,0.0046225,0.01093,1.702555,0.16806999999999994
common_envelope,6,0.000399625,0.0014299999999999998,0.0032596249999999995,1.7058146250000001,0.11764899999999996
common_envelope,7,0.00022292499999999998,0.0006119624999999999,0.0014468499999999997,1.7072614750000001,0.08235429999999996
common_envelope,8,5.2890625e-05,0.00018926999999999998,0.00043143062499999995,1.707692905625,0.05764800999999997
common_envelope,9,2.9505125e-05,8.09970625e-05,0.00019149925,1.7078844048750002,0.04035360699999998
common_envelope,10,7.000365625e-06,2.505095e-05,5.7102265625000006e-05,1.7079415071406252,0.02824752489999998
common_envelope,11,3.905168125000001e-06,1.0720416562500001e-05,2.5346001250000003e-05,1.7079668531418752,0.019773267429999988
common_envelope,12,9.265376406250002e-07,3.3156337500000007e-06,7.557805140625001e-06,1.7079744109470159,0.01384128720099999
common_envelope,13,5.168709031250001e-07,1.4189072640625004e-06,3.354685431250001e-06,1.707977765632447,0.009688901040699992
common_envelope,14,1.2263245351562504e-07,4.3884272375000014e-07,1.0003179010156252e-06,1.707978765950348,0.006782230728489994
common_envelope,15,6.841076307812503e-08,1.8780033485156258e-07,4.440114327812502e-07,1.7079792099617808,0.004747561509942996
common_envelope,16,1.6231093050390633e-08,5.8083295893750027e-08,1.323976848378907e-07,1.7079793423594656,0.0033232930569600965
common_envelope,17,9.05454819945313e-09,2.4856427662539075e-08,5.876740352453128e-08,1.7079794011268692,0.0023263051398720674
common_envelope,18,2.148276203072267e-09,7.687649992343755e-09,1.7523576187759778e-08,1.7079794186504453,0.001628413597910447
common_envelope,19,1.198420239848829e-09,3.289887617244729e-09,7.778195474338286e-09,1.7079794264286408,0.001139889518537313
common_envelope,20,2.843364048471193e-10,1.0175035954035945e-09,2.3193435956543085e-09,1.7079794287479844,0.0007979226629761189
